dptmt.0.001*codeinseecommune superficie(hectare) x y nombred'inscrits nombredevotants nombredebulletinexprimés nomsansblancavecunders
1.118 3159 8701 21134 709 483 465 CORBONOD
1.119 1416 8506 21202 152 139 137 CORCELLES
1.121 545 8448 21194 85 73 73 CORLIER
1.122 1892 8538 21112 638 534 526 CORMARANCHE-EN-BUGEY
1.123 985 7924 21409 725 466 446 CORMORANCHE-SUR-SAONE
1.124 1956 8224 21651 425 335 328 CORMOZ
1.125 2269 8425 21429 439 329 326 CORVEISSIAT
1.127 1482 8334 21524 380 313 305 COURMANGOUX
1.128 906 8122 21658 204 129 110 COURTES
1.129 1323 8212 21112 198 155 150 CRANS
1.13 1383 8179 21493 890 581 560 CRAS-SUR-REYSSOUZE
1.133 793 8663 20921 281 219 210 CRESSIN-ROCHEFORT
1.134 1212 7969 21451 1139 882 863 CROTTET
1.135 2747 8832 21489 977 649 630 CROZET
1.136 1184 7962 21392 539 372 365 CRUZILLES-LES-MEPILLAT
1.138 1936 8675 21001 1902 1316 1276 CULOZ
1.139 2394 8166 21678 356 285 276 CURCIAT-DONGALON
1.14 1241 8121 21451 490 376 355 CURTAFOND
1.141 487 8601 20963 316 251 244 CUZIEU
1.142 665 8121 20983 2658 1675 1598 DAGNEUX
1.143 3388 8928 21578 4984 2135 1394 DIVONNE-LES-BAINS
1.144 1719 8042 21520 604 402 388 DOMMARTIN
1.145 2910 8218 21230 801 511 487 DOMPIERRE-SUR-VEYLE
1.146 478 7984 21303 267 212 208 DOMPIERRE-SUR-CHALARONNE
1.147 1520 8274 21620 361 299 293 DOMSURE
1.148 1811 8558 21519 1476 826 791 DORTAN
1.149 526 8352 21144 741 527 493 DOUVRES
1.15 778 8339 21398 151 136 136 DROM
1.151 2072 8306 21221 804 601 589 DRUILLAT
1.152 2809 8626 21401 614 498 473 ECHALLON
1.153 1644 8848 21521 923 632 611 ECHENEVEX
1.154 1215 8192 21522 514 359 348 ETREZ
1.155 1208 8450 21116 132 111 106 EVOSGES
1.156 1122 8164 21040 530 389 378 FARAMANS
1.157 822 7878 21161 1474 916 877 FAREINS
1.158 1428 8755 21360 476 333 312 FARGES
1.159 1491 7966 21516 2308 1346 1289 FEILLENS
1.16 478 8907 21465 4126 2207 2149 FERNEY-VOLTAIRE
1.162 279 8641 20955 66 60 59 FLAXIEU
1.163 4036 8183 21562 1370 929 878 FOISSIAT
1.165 1356 7912 21223 859 574 556 FRANCHELEINS
1.166 798 7888 21130 1363 953 931 FRANS
1.167 857 7933 21371 510 403 395 GARNERANS
1.169 408 7894 21273 368 231 226 GENOUILLEUX
1.17 469 8485 21373 578 353 342 GEOVREISSIAT
1.171 350 8529 21448 569 349 334 GEOVREISSET
1.172 948 8396 21504 145 102 102 GERMAGNAT
1.173 3202 8864 21549 4870 2559 2469 GEX
