dptmt.0.001*codeinseecommune superficie(hectare) x y nombred'inscrits nombredevotants nombredebulletinexprimés nomsansblancavecunders
14.125 325 4017 24740 1157 857 823 CAMBES-EN-PLAINE
14.126 2357 4329 24640 925 663 635 CAMBREMER
14.127 1006 3608 24374 312 217 207 CAMPAGNOLLES
14.128 657 3860 24461 84 75 75 CAMPANDRE-VALCONGRAIN
14.129 843 3606 24442 398 284 277 CAMPEAUX
14.13 561 3715 24769 141 107 103 CAMPIGNY
14.131 250 4398 24822 179 136 133 CANAPVILLE
14.132 572 3586 24865 162 134 133 CANCHY
14.134 232 4199 24622 147 117 114 CANTELOUP
14.135 415 3847 24753 229 165 155 CARCAGNY
14.136 329 3527 24884 61 58 57 CARDONVILLE
14.137 588 3972 24689 1691 1281 1241 CARPIQUET
14.138 1023 3562 24765 229 149 141 CARTIGNY-L'EPINAY
14.139 1043 3658 24416 276 225 219 CARVILLE
14.14 1102 3715 24718 255 188 187 CASTILLON
14.141 723 4360 24504 111 96 92 CASTILLON-EN-AUGE
14.142 1220 3553 24800 230 167 153 CASTILLY
14.143 627 3704 24593 833 560 536 CAUMONT-L'EVENTE
14.144 92 3936 24435 67 53 52 CAUMONT-SUR-ORNE
14.145 962 4098 24530 314 251 249 CAUVICOURT
14.146 576 3868 24427 113 88 86 CAUVILLE
14.147 582 4527 24488 112 94 90 CERNAY
14.148 566 4555 24458 90 73 70 CERQUEUX
14.149 419 4205 24574 247 214 209 CESNY-AUX-VIGNES
14.15 666 4013 24466 383 280 267 CESNY-BOIS-HALBOUT
14.151 1385 3542 24269 313 226 216 CHAMP-DU-BOULT
14.152 407 3839 24366 74 59 57 LA_CHAPELLE-ENGERBOLD
14.153 292 4396 24432 41 31 30 LA_CHAPELLE-HAUTE-GRUE
14.154 701 4540 24536 407 279 266 LA_CHAPELLE-YVON
14.155 772 4468 24502 181 152 149 CHEFFREVILLE-TONNENCOURT
14.156 691 3726 24330 172 133 125 CHENEDOLLE
14.157 1438 3911 24669 842 628 597 CHEUX
14.158 754 4135 24599 368 271 258 CHICHEBOVILLE
14.159 315 3834 24722 163 132 130 CHOUAIN
14.16 758 4078 24540 140 106 103 CINTHEAUX
14.161 970 4395 24747 303 238 230 CLARBEC
14.162 2463 3933 24390 966 696 664 CLECY
14.163 853 4227 24648 260 209 204 CLEVILLE
14.164 637 3999 24571 741 499 473 CLINCHAMPS-SUR-ORNE
14.165 693 3688 24881 139 120 118 COLLEVILLE-SUR-MER
14.166 774 4080 24784 1914 1288 1249 COLLEVILLE-MONTGOMERY
14.167 714 4080 24706 3940 2392 2310 COLOMBELLES
14.168 1064 3585 24827 171 137 137 COLOMBIERES
14.169 329 3927 24810 138 108 105 COLOMBIERS-SUR-SEULLES
14.17 276 3999 24777 343 228 219 COLOMBY-SUR-THAON
14.171 451 3966 24426 109 99 96 COMBRAY
14.172 664 3766 24866 367 263 257 COMMES
14.173 1134 4198 24522 296 267 263 CONDE-SUR-IFS
14.174 1253 3881 24319 3731 2292 1735 CONDE-SUR-NOIREAU
14.175 244 3834 24738 263 149 149 CONDE-SUR-SEULLES
14.176 414 4120 24576 74 64 59 CONTEVILLE
14.177 1190 4450 24689 632 458 439 COQUAINVILLIERS
14.178 409 4288 24635 48 36 33 CORBON
14.179 897 4570 24588 106 68 67 CORDEBUGLE
14.18 452 4117 24311 112 95 94 CORDEY
14.181 348 4054 24651 3481 2479 2429 CORMELLES-LE-ROYAL
14.182 1104 3669 24639 310 244 239 CORMOLAIN
14.183 474 3978 24366 91 82 80 COSSESSEVILLE
14.184 377 3721 24794 125 83 83 COTTUN
14.185 491 4435 24808 295 197 193 COUDRAY-RABUT
14.186 443 3888 24765 221 146 145 COULOMBS
14.187 1558 3615 24356 569 443 434 COULONCES
14.188 431 3760 24544 246 173 164 COULVAIN
14.189 447 4370 24535 47 38 38 COUPESARTE
14.19 912 4257 24441 135 104 99 COURCY
14.191 792 3968 24853 3416 2459 2356 COURSEULLES-SUR-MER
14.192 1670 3491 24338 343 273 269 COURSON
14.193 1269 4527 24605 584 386 377 COURTONNE-LA-MEURDRAC
14.194 1368 4563 24559 459 343 335 COURTONNE-LES-DEUX-EGLISES
14.195 953 3869 24521 194 149 145 COURVAUDON
14.196 542 3900 24837 190 150 148 CREPON
14.197 359 4041 24800 955 691 671 CRESSERONS
14.198 548 4304 24740 224 174 170 CRESSEVEUILLE
14.2 856 3905 24801 1053 698 698 CREULLY
14.201 215 4304 24603 360 270 264 CREVECOEUR-EN-AUGE
14.202 185 4409 24917 177 121 120 CRICQUEBOEUF
14.203 679 4252 24742 157 115 112 CRICQUEVILLE-EN-AUGE
14.204 855 3575 24919 176 159 155 CRICQUEVILLE-EN-BESSIN
14.205 392 3873 24702 148 130 129 CRISTOT
14.207 1023 3964 24480 337 240 240 CROISILLES
14.208 441 4220 24610 335 226 207 CROISSANVILLE
14.209 773 3711 24790 409 298 287 CROUAY
14.21 345 4500 24491 105 96 94 LA_CROUPTE
14.211 781 3899 24431 260 195 190 CULEY-LE-PATRY
14.212 655 3909 24763 136 120 119 CULLY
14.213 1357 3911 24494 334 242 224 CURCY-SUR-ORNE
14.214 234 3744 24807 130 86 81 CUSSY
14.215 201 4103 24689 1399 882 810 CUVERVILLE
14.216 635 4204 24381 162 125 124 DAMBLAINVILLE
14.217 526 3655 24543 102 75 73 DAMPIERRE
14.218 638 4313 24750 220 178 175 DANESTAL
14.219 1151 3795 24438 140 110 108 DANVOU-LA-FERRIERE
14.22 357 4355 24870 3809 2258 2087 DEAUVILLE
14.221 356 4100 24679 2276 1446 1312 DEMOUVILLE
14.222 388 3691 24388 56 37 36 LE_DESERT
14.223 552 4028 24332 80 71 71 LE_DETROIT
14.224 407 3602 24885 65 55 55 DEUX-JUMEAUX
14.225 646 4225 24792 4402 3119 2926 DIVES-SUR-MER
14.226 1119 3982 24430 158 144 138 DONNAY
14.227 617 4281 24763 193 162 159 DOUVILLE-EN-AUGE
14.228 1071 4023 24807 3779 2503 2384 DOUVRES-LA-DELIVRANDE
14.229 523 4265 24731 1243 860 837 DOZULE
14.23 314 4377 24760 105 82 82 DRUBEC
14.231 1134 4315 24709 340 244 233 BEAUFOUR-DRUVAL
14.232 361 3851 24738 132 107 104 DUCY-SAINTE-MARGUERITE
14.235 684 3614 24856 145 110 107 ECRAMMEVILLE
14.236 673 3802 24734 294 251 240 ELLON
14.237 392 4131 24645 398 314 307 EMIEVILLE
14.238 361 4404 24839 116 92 91 ENGLESQUEVILLE-EN-AUGE
14.239 788 3611 24915 83 75 72 ENGLESQUEVILLE-LA-PERCEE
14.24 1159 4165 24418 316 224 214 EPANEY
14.241 1158 3838 24572 467 347 327 EPINAY-SUR-ODON
14.242 142 4026 24728 1058 687 653 EPRON
14.243 598 4454 24905 882 668 629 EQUEMAUVILLE
14.244 404 4169 24374 212 166 163 ERAINES
14.245 890 4200 24494 237 187 184 ERNES
14.246 518 4123 24711 549 382 360 ESCOVILLE
14.248 458 3988 24483 173 151 143 ESPINS
14.249 302 3949 24608 866 606 593 ESQUAY-NOTRE-DAME
14.25 290 3845 24790 282 198 188 ESQUAY-SUR-SEULLES
14.251 886 3955 24443 303 214 208 ESSON
14.252 745 4119 24493 157 117 107 ESTREES-LA-CAMPAGNE
14.253 1075 3747 24376 236 161 157 ESTRY
14.254 487 3984 24642 982 706 691 ETERVILLE
14.255 229 3634 24377 237 207 204 ETOUVY
14.256 424 3721 24850 211 160 152 ETREHAM
14.257 831 3925 24595 1105 836 790 EVRECY
14.258 1184 4144 24356 5812 3572 3437 FALAISE
14.259 1071 4548 24428 101 74 73 FAMILLY
14.26 741 4493 24680 204 159 153 FAUGUERNON
14.261 445 4529 24722 228 165 161 LE_FAULQ
14.264 1143 3636 24467 221 137 133 LA_FERRIERE-HARANG
14.265 1067 4477 24512 521 350 334 FERVAQUES
14.266 818 3996 24612 954 634 601 FEUGUEROLLES-BULLY
14.268 1266 4153 24553 377 288 285 FIERVILLE-BRAY
14.269 491 4462 24737 159 98 96 FIERVILLE-LES-PARCS
14.27 501 4528 24637 333 232 223 FIRFOL
14.271 675 4020 24643 2824 1924 1811 FLEURY-SUR-ORNE
14.272 653 3586 24785 97 72 70 LA_FOLIE
14.273 1075 4599 24444 154 114 110 LA_FOLLETIERE-ABENON
14.275 581 3967 24791 369 265 254 FONTAINE-HENRY
14.276 854 4081 24449 257 209 205 FONTAINE-LE-PIN
14.277 1016 4035 24584 1220 822 796 FONTENAY-LE-MARMION
14.278 1007 3872 24676 753 573 545 FONTENAY-LE-PESNEL
14.279 279 3473 24305 116 89 88 FONTENERMONT
14.28 593 4399 24689 179 134 127 FORMENTIN
14.281 1086 3647 24870 198 155 148 FORMIGNY
14.282 643 3700 24651 149 103 97 FOULOGNES
14.283 478 4226 24319 131 98 96 FOURCHES
14.284 539 4089 24317 147 108 107 FOURNEAUX-LE-VAL
14.285 299 4375 24696 58 55 53 LE_FOURNET
14.286 686 4472 24864 316 252 238 FOURNEVILLE
14.288 706 3943 24773 659 541 533 LE_FRESNE-CAMILLY
14.289 814 4197 24357 354 261 257 FRESNE-LA-MERE
14.29 965 4020 24551 494 339 312 FRESNEY-LE-PUCEUX
14.291 248 4006 24486 191 144 137 FRESNEY-LE-VIEUX
14.292 939 4574 24465 216 148 146 FRIARDEL
14.293 663 4566 24657 232 168 159 FUMICHON
14.294 564 4081 24588 574 424 407 GARCELLES-SECQUEVILLE
14.296 1274 3492 24274 213 158 137 LE_GAST
14.297 271 3917 24616 249 205 204 GAVRUS
14.298 1111 3507 24907 126 121 118 GEFOSSE-FONTENAY
14.299 936 4501 24878 527 377 350 GENNEVILLE
14.3 348 4292 24686 44 37 36 GERROTS
14.301 500 4090 24680 3508 2109 1715 GIBERVILLE
14.302 643 4351 24785 137 99 99 GLANVILLE
14.303 1293 4498 24602 809 491 469 GLOS
14.304 850 4480 24894 664 442 408 GONNEVILLE-SUR-HONFLEUR
14.306 432 4160 24767 326 249 236 GONNEVILLE-EN-AUGE
14.307 227 3940 24519 123 94 92 GOUPILLIERES
14.308 1035 4226 24717 145 112 108 GOUSTRANVILLE
14.309 518 4069 24518 595 429 401 GOUVIX
14.31 532 4090 24491 458 347 332 GRAINVILLE-LANGANNERIE
14.311 526 3908 24639 698 521 507 GRAINVILLE-SUR-ODON
14.312 1485 3546 24931 1531 1084 1024 GRANDCAMP-MAISY
14.313 345 4346 24557 64 55 55 GRANDCHAMP-LE-CHATEAU
14.316 661 4258 24769 210 142 135 GRANGUES
14.317 1189 3640 24377 927 659 622 LA_GRAVERIE
14.318 654 3957 24849 426 322 308 GRAYE-SUR-MER
14.319 408 4085 24644 596 513 485 GRENTHEVILLE
14.32 863 3961 24531 244 177 175 GRIMBOSQ
14.322 527 3779 24767 181 146 144 GUERON
14.324 944 3890 24483 335 211 206 HAMARS
14.325 805 4069 24795 2237 1314 1202 HERMANVILLE-SUR-MER
14.326 1376 4501 24655 684 461 461 HERMIVAL-LES-VAUX
14.327 1064 4058 24706 13338 8536 8348 HEROUVILLE-SAINT-CLAIR
14.328 400 4119 24724 855 685 660 HEROUVILLETTE
14.329 302 4298 24782 83 56 56 HEULAND
14.33 586 4385 24455 147 128 127 HEURTEVENT
14.331 477 4284 24498 216 163 158 HIEVILLE
14.332 2444 4168 24340 490 341 326 LA_HOGUETTE
14.333 1367 4473 24933 5606 3113 2871 HONFLEUR
14.334 574 4591 24621 214 167 167 L'HOTELLERIE
14.335 2405 4255 24658 270 209 206 HOTOT-EN-AUGE
14.336 839 3821 24658 353 267 257 HOTTOT-LES-BAGUES
14.337 710 4370 24608 216 150 149 LA_HOUBLONNIERE
14.338 469 4243 24808 1685 1199 1145 HOULGATE
14.339 193 4064 24623 235 168 165 HUBERT-FOLIE
14.341 906 4036 24634 7080 4356 4187 IFS
14.342 1744 3499 24855 2056 1402 1308 ISIGNY-SUR-MER
14.343 569 4036 24308 60 54 54 LES_ISLES-BARDEL
14.344 444 4177 24657 351 262 257 JANVILLE
14.345 658 4230 24444 250 187 185 JORT
14.346 1612 3795 24719 561 402 392 JUAYE-MONDAYE
14.347 1269 3747 24511 463 358 340 JURQUES
14.348 353 3847 24668 62 46 46 JUVIGNY-SUR-SEULLES
14.349 176 4014 24572 349 258 243 LAIZE-LA-VILLE
14.35 157 3657 24571 50 46 44 LA_LANDE-SUR-DROME
14.352 2467 3554 24374 655 534 507 LANDELLES-ET-COUPIGNY
14.353 600 3868 24571 243 172 154 LANDES-SUR-AJON
14.355 442 3923 24784 530 369 357 LANTHEUIL
14.356 402 3959 24743 463 383 378 LASSON
14.357 1260 3790 24394 262 187 174 LASSY
14.358 320 4326 24676 53 51 51 LEAUPARTIE
14.359 814 4348 24586 132 99 96 LECAUDE
14.36 689 4064 24387 121 98 95 LEFFARD
14.361 667 3826 24413 117 95 92 LENAULT
14.362 1009 4379 24552 149 111 107 LESSARD-ET-LE-CHENE
14.364 1446 3805 24683 348 284 278 LINGEVRES
14.365 475 4068 24814 2030 1458 1407 LION-SUR-MER
14.366 1307 4459 24629 14767 8971 8719 LISIEUX
14.367 1094 3542 24768 367 260 257 LISON
14.368 1191 4438 24425 247 184 179 LISORES
14.369 694 3635 24666 204 151 148 LITTEAU
14.37 2712 3662 24764 2095 1506 1463 LE_MOLAY-LITTRY
14.371 1209 4401 24476 1714 1207 1153 LIVAROT
14.372 2348 3734 24612 599 448 437 LIVRY
14.373 368 3889 24601 212 168 156 LE_LOCHEUR
14.374 446 3701 24540 119 104 103 LES_LOGES
14.375 674 4065 24329 122 85 82 LES_LOGES-SAULCES
14.376 659 3784 24664 169 137 136 LONGRAYE
14.377 1229 3795 24863 511 366 342 LONGUES-SUR-MER
14.378 654 3603 24875 199 163 152 LONGUEVILLE
14.379 665 3830 24545 274 202 196 LONGVILLERS
14.38 307 3873 24735 125 102 98 LOUCELLES
14.381 550 4255 24413 62 52 51 LOUVAGNY
14.382 419 3634 24901 67 62 62 LOUVIERES
14.383 564 4009 24657 1961 1228 1126 LOUVIGNY
14.384 364 4041 24830 2545 1756 1684 LUC-SUR-MER
14.385 442 3817 24829 105 75 74 MAGNY-EN-BESSIN
14.386 626 4216 24530 443 346 338 MAGNY-LA-CAMPAGNE
14.387 638 4241 24585 258 204 200 MAGNY-LE-FREULE
14.388 1354 3659 24272 391 285 271 MAISONCELLES-LA-JOURDAN
14.389 540 3799 24552 198 157 153 MAISONCELLES-PELVEY
14.39 424 3898 24545 158 130 106 MAISONCELLES-SUR-AJON
14.391 667 3755 24841 274 201 193 MAISONS
14.393 572 3947 24571 248 168 159 MAIZET
14.394 715 4174 24494 341 234 224 MAIZIERES
14.395 127 3591 24443 28 22 22 MALLOUE
14.396 424 3985 24626 512 350 335 MALTOT
14.397 883 3660 24830 243 181 176 MANDEVILLE-EN-BESSIN
14.398 1827 4423 24674 440 324 315 MANERBE
14.399 631 4459 24759 297 231 208 MANNEVILLE-LA-PIPARD
14.4 588 3866 24802 132 111 105 LE_MANOIR
14.401 282 3825 24863 95 70 69 MANVIEUX
14.402 242 4267 24341 70 56 55 LE_MARAIS-LA-CHAPELLE
14.403 1222 4566 24619 542 423 418 MAROLLES
14.404 584 4027 24427 91 80 80 MARTAINVILLE
14.405 934 4076 24351 270 191 190 MARTIGNY-SUR-L'ANTE
14.407 941 4026 24765 1573 1056 1033 MATHIEU
14.408 349 4020 24592 1379 1007 977 MAY-SUR-ORNE
14.409 1042 4152 24791 1579 1126 1083 MERVILLE-FRANCEVILLE-PLAGE
14.41 757 4234 24625 656 542 528 MERY-CORBON
14.411 569 3998 24432 164 132 128 MESLAY
14.412 430 3853 24536 47 40 38 LE_MESNIL-AU-GRAIN
14.413 924 3738 24469 225 177 171 LE_MESNIL-AUZOUF
14.414 447 4389 24469 173 138 136 LE_MESNIL-BACLEY
14.415 262 3563 24350 44 33 33 LE_MESNIL-BENOIST
14.416 422 3539 24338 86 74 72 LE_MESNIL-CAUSSOIS
14.417 1533 3558 24334 716 540 521 MESNIL-CLINCHAMPS
14.418 986 4394 24518 245 162 159 LE_MESNIL-DURAND
14.419 842 4424 24571 265 182 172 LE_MESNIL-EUDES
14.42 867 4430 24515 201 173 168 LE_MESNIL-GERMAIN
14.421 385 4503 24582 409 271 256 LE_MESNIL-GUILLAUME
14.422 3124 4306 24569 777 589 556 LE_MESNIL-MAUGER
14.423 351 3899 24702 193 167 157 LE_MESNIL-PATRY
14.424 408 3584 24357 139 111 107 LE_MESNIL-ROBERT
14.425 959 4370 24571 129 107 106 LE_MESNIL-SIMON
14.426 737 4488 24756 174 133 129 LE_MESNIL-SUR-BLANGY
14.427 355 4013 24317 237 200 194 LE_MESNIL-VILLEMENT
14.429 1629 4531 24438 304 198 196 MEULLES
14.43 736 3888 24850 132 121 120 MEUVAINES
14.431 1092 4241 24555 3232 2062 1661 MEZIDON-CANON
14.432 506 3891 24621 395 314 305 MISSY
14.433 738 4307 24482 123 96 94 MITTOIS
14.435 372 4384 24599 146 116 114 LES_MONCEAUX
14.436 473 3793 24765 367 249 244 MONCEAUX-EN-BESSIN
14.437 905 4061 24673 7153 4026 3328 MONDEVILLE
14.438 317 3917 24639 347 249 240 MONDRAINVILLE
14.439 722 3545 24843 88 67 63 MONFREVILLE
14.44 367 3728 24461 93 76 72 MONTAMY
14.441 633 3617 24459 186 143 141 MONT-BERTRAND
14.442 1620 3725 24404 382 291 274 MONTCHAMP
14.443 1821 3746 24428 269 201 198 MONTCHAUVET
14.444 453 4327 24592 122 87 85 MONTEILLE
14.445 1954 3650 24686 76 60 60 MONTFIQUET
14.446 391 3902 24535 70 53 51 MONTIGNY
14.448 337 4335 24662 44 31 30 MONTREUIL-EN-AUGE
14.449 716 3853 24614 330 253 245 MONTS-EN-BESSIN
14.45 662 4360 24470 172 94 88 MONTVIETTE
14.452 1176 4232 24389 375 291 279 MORTEAUX-COULIBOEUF
14.453 642 3704 24837 258 206 204 MOSLES
14.454 416 3941 24648 949 636 575 MOUEN
14.455 938 4042 24466 191 136 131 MOULINES
14.456 1026 4173 24604 1184 756 712 MOULT
14.457 1010 4281 24359 98 73 73 LES_MOUTIERS-EN-AUGE
14.458 675 3977 24514 233 162 158 LES_MOUTIERS-EN-CINGLAIS
14.459 813 4484 24441 78 72 70 LES_MOUTIERS-HUBERT
14.46 1623 4556 24682 1023 793 773 MOYAUX
14.461 671 3983 24553 250 207 200 MUTRECY
14.462 2120 3499 24803 364 246 242 NEUILLY-LA-FORET
14.465 682 3832 24757 358 284 282 NONANT
14.466 652 4472 24689 254 184 182 NOROLLES
14.467 762 4106 24360 200 171 164 NORON-L'ABBAYE
14.468 301 3732 24744 226 161 157 NORON-LA-POTERIE
14.469 886 4275 24376 84 68 67 NORREY-EN-AUGE
14.473 267 4323 24599 99 80 79 NOTRE-DAME-DE-LIVAYE
14.474 743 4288 24635 139 96 92 NOTRE-DAME-D'ESTREES
14.475 887 3880 24622 783 606 589 NOYERS-BOCAGE
14.476 745 4163 24441 166 115 114 OLENDON
14.477 1526 3789 24485 227 196 189 ONDEFONTAINE
14.478 1014 4588 24488 1612 1141 1081 ORBEC
14.48 1088 3514 24866 428 326 320 OSMANVILLE
14.481 427 3522 24819 206 160 155 LES_OUBEAUX
14.482 470 4217 24567 182 157 154 OUEZY
14.483 421 3931 24510 146 100 94 OUFFIERES
14.484 892 4536 24652 130 96 93 OUILLY-DU-HOULEY
14.486 1200 4127 24464 425 339 318 OUILLY-LE-TESSON
14.487 773 4459 24669 652 526 507 OUILLY-LE-VICOMTE
14.488 995 4111 24789 7532 5027 4820 OUISTREHAM
14.489 767 4275 24531 213 150 142 OUVILLE-LA-BIEN-TOURNEE
14.491 365 3848 24588 136 109 102 PARFOURU-SUR-ODON
14.492 568 4431 24921 263 220 212 PENNEDEPIE
14.493 704 4245 24535 184 148 147 PERCY-EN-AUGE
14.494 509 4240 24759 112 98 92 PERIERS-EN-AUGE
14.495 295 4049 24767 423 291 270 PERIERS-SUR-LE-DAN
14.496 266 3843 24400 45 44 44 PERIGNY
14.497 817 4188 24430 206 155 150 PERRIERES
14.498 825 4206 24339 178 149 144 PERTHEVILLE-NERS
14.499 289 4170 24746 364 280 265 PETIVILLE
14.5 548 4445 24755 117 101 100 PIERREFITTE-EN-AUGE
14.501 1072 4002 24373 182 144 136 PIERREFITTE-EN-CINGLAIS
14.502 429 4049 24347 75 56 54 PIERREPONT
14.503 973 3747 24347 186 138 133 PIERRES
14.504 1153 4541 24700 562 391 380 LE_PIN
14.505 546 3981 24456 108 98 97 PLACY
14.506 1437 3683 24666 210 163 157 PLANQUERY
14.508 1615 3842 24444 255 191 186 LE_PLESSIS-GRIMOULT
14.509 123 4039 24791 191 142 142 PLUMETOT
14.51 280 3978 24380 41 35 34 LA_POMMERAYE
14.511 354 3569 24422 69 56 55 PONT-BELLANGER
14.512 238 3854 24351 82 66 66 PONTECOULANT
14.513 1345 3528 24428 351 279 270 PONT-FARCY
14.514 807 4433 24786 2945 1845 1739 PONT-L'EVEQUE
14.515 756 3752 24874 1576 1011 951 PORT-EN-BESSIN-HUPPAIN
14.516 426 4107 24446 1272 932 892 POTIGNY
14.517 408 4129 24566 69 59 58 POUSSY-LA-CAMPAGNE
14.518 372 4514 24451 44 38 37 PREAUX-SAINT-SEBASTIEN
14.519 432 3910 24547 82 75 75 PREAUX-BOCAGE
14.52 1072 4401 24641 620 453 438 LE_PRE-D'AUGE
14.521 903 3712 24355 194 154 147 PRESLES
14.522 1123 4475 24550 319 244 241 PRETREVILLE
14.523 1264 3891 24354 299 236 232 PROUSSY
14.524 658 4247 24715 240 215 212 PUTOT-EN-AUGE
14.525 351 3903 24721 321 270 269 PUTOT-EN-BESSIN
14.527 2010 4265 24594 269 195 174 BIEVILLE-QUETIEVILLE
14.528 1032 4525 24840 285 179 168 QUETTEVILLE
14.529 514 3747 24774 168 138 135 RANCHY
14.53 842 4110 24735 1466 984 944 RANVILLE
14.531 419 4039 24321 40 38 38 RAPILLY
14.532 473 3666 24392 193 153 151 LE_RECULEY
14.533 213 4330 24699 74 45 44 REPENTIGNY
14.534 739 4409 24774 258 176 174 REUX
14.535 438 3962 24819 399 306 297 REVIERS
14.536 539 4500 24920 1264 759 734 LA_RIVIERE-SAINT-SAUVEUR
14.538 275 4057 24584 482 410 396 ROCQUANCOURT
14.539 493 3791 24366 74 54 50 LA_ROCQUE
14.54 614 4472 24657 291 224 220 ROCQUES
14.541 464 4368 24669 106 85 85 LA_ROQUE-BAIGNARD
14.542 390 3963 24738 481 366 362 ROSEL
14.543 1222 3948 24714 1090 849 828 ROTS
14.544 541 3834 24476 144 110 106 ROUCAMPS
14.545 1315 3667 24307 682 582 568 ROULLOURS
14.546 887 4164 24481 154 116 114 ROUVRES
14.547 554 3659 24810 89 72 72 RUBERCY
14.548 263 3873 24771 117 102 101 RUCQUEVILLE
14.549 997 3759 24295 171 131 127 RULLY
14.55 535 4317 24677 67 62 62 RUMESNIL
14.551 486 3704 24863 126 111 111 RUSSY
14.552 959 3846 24834 362 299 293 RYES
14.553 614 3865 24532 91 85 83 SAINT-AGNAN-LE-MALHERBE
14.554 691 4088 24568 338 251 240 SAINT-AIGNAN-DE-CRAMESNIL
14.555 979 4503 24815 350 255 241 SAINT-ANDRE-D'HEBERTOT
14.556 368 4014 24613 1324 965 926 SAINT-ANDRE-SUR-ORNE
14.557 512 4365 24841 841 629 614 SAINT-ARNOULT
14.558 329 4088 24770 606 465 459 SAINT-AUBIN-D'ARQUENAY
14.559 826 3455 24312 183 135 131 SAINT-AUBIN-DES-BOIS
14.562 303 4017 24846 1751 1241 1187 SAINT-AUBIN-SUR-MER
14.563 713 4496 24819 274 213 210 SAINT-BENOIT-D'HEBERTOT
14.564 661 3709 24408 147 120 119 SAINT-CHARLES-DE-PERCY
14.565 431 3860 24858 211 176 170 SAINT-COME-DE-FRESNE
14.568 526 3887 24743 221 182 176 SAINTE-CROIX-GRAND-TONNE
14.569 208 3929 24833 158 132 122 SAINTE-CROIX-SUR-MER
14.57 403 4509 24525 484 347 336 SAINT-CYR-DU-RONCERAY
14.571 425 4521 24568 258 202 197 SAINT-DENIS-DE-MAILLOC
14.572 1137 3907 24340 642 427 396 SAINT-DENIS-DE-MERE
14.573 236 3660 24474 73 62 58 SAINT-DENIS-MAISONCELLES
14.574 1935 4448 24623 1325 910 883 SAINT-DESIR
14.575 1236 4385 24792 383 323 309 SAINT-ETIENNE-LA-THILLAYE
14.576 459 4417 24424 137 100 98 SAINTE-FOY-DE-MONTGOMMERY
14.577 744 3887 24795 215 152 151 SAINT-GABRIEL-BRECY
14.578 4911 4436 24855 1073 663 640 SAINT-GATIEN-DES-BOIS
14.579 2351 3793 24530 549 417 407 SAINT-GEORGES-D'AUNAY
14.58 516 4333 24460 89 82 81 SAINT-GEORGES-EN-AUGE
14.581 497 3770 24627 220 148 140 SAINT-GERMAIN-D'ECTOT
14.583 813 4414 24405 129 107 107 SAINT-GERMAIN-DE-MONTGOMMERY
14.584 4189 3620 24274 1500 1134 1106 SAINT-GERMAIN-DE-TALLEVENDE-LA-LANDE-VAUMONT
14.585 1464 3841 24328 705 502 490 SAINT-GERMAIN-DU-CRIOULT
14.586 603 3544 24874 138 110 106 SAINT-GERMAIN-DU-PERT
14.587 263 3996 24693 1773 992 953 SAINT-GERMAIN-LA-BLANCHE-HERBE
14.588 1035 4050 24393 198 152 150 SAINT-GERMAIN-LANGOT
14.589 941 4070 24482 647 457 432 SAINT-GERMAIN-LE-VASSON
14.59 499 3727 24654 100 64 62 SAINTE-HONORINE-DE-DUCY
14.591 569 3714 24879 403 294 292 SAINTE-HONORINE-DES-PERTES
14.592 756 3932 24570 960 698 663 SAINTE-HONORINE-DU-FAY
14.593 1232 4424 24750 544 387 371 SAINT-HYMER
14.595 347 4475 24574 193 140 134 SAINT-JEAN-DE-LIVET
14.596 827 3679 24543 145 110 107 SAINT-JEAN-DES-ESSARTIERS
14.597 1512 3809 24417 263 215 211 SAINT-JEAN-LE-BLANC
14.598 503 4286 24706 159 135 133 SAINT-JOUIN
14.599 618 4525 24556 330 248 235 SAINT-JULIEN-DE-MAILLOC
14.6 322 4356 24548 490 413 393 SAINT-JULIEN-LE-FAUCON
14.601 854 4465 24791 154 141 133 SAINT-JULIEN-SUR-CALONNE
14.602 745 3885 24415 187 148 142 SAINT-LAMBERT
14.603 1231 3987 24528 384 302 294 SAINT-LAURENT-DE-CONDEL
14.604 348 4321 24628 148 96 93 SAINT-LAURENT-DU-MONT
14.605 390 3664 24894 249 211 209 SAINT-LAURENT-SUR-MER
14.606 406 4276 24723 129 99 97 SAINT-LEGER-DUBOSQ
14.607 433 3806 24596 139 110 107 SAINT-LOUET-SUR-SEULLES
14.608 347 4299 24597 171 105 101 SAINT-LOUP-DE-FRIBOIS
14.609 529 3774 24777 238 168 163 SAINT-LOUP-HORS
14.61 828 3930 24685 1282 863 787 SAINT-MANVIEU-NORREY
14.611 1178 3566 24303 405 331 326 SAINT-MANVIEU-BOCAGE
14.613 503 3576 24778 83 66 63 SAINT-MARCOUF
14.614 2049 3552 24730 629 396 384 SAINTE-MARGUERITE-D'ELLE
14.615 1085 4440 24488 153 118 114 SAINTE-MARGUERITE-DES-LOGES
14.616 772 4356 24485 311 210 199 SAINTE-MARGUERITE-DE-VIETTE
14.618 1561 3627 24408 452 321 312 SAINTE-MARIE-LAUMONT
14.619 575 3537 24427 75 58 54 SAINTE-MARIE-OUTRE-L'EAU
14.62 506 4412 24811 325 217 211 SAINT-MARTIN-AUX-CHARTRAINS
14.621 1155 4556 24515 382 243 230 SAINT-MARTIN-DE-BIENFAITE-LA-CRESSONNIERE
14.622 889 3608 24776 110 105 100 SAINT-MARTIN-DE-BLAGNY
